brand,categories,cashback,tier_rates,upsized,url
Cue,Fashion,Up to 8% Cashback,,yes,https://www.topcashback.com.au/cue/
Cult Beauty,Body and Hair; Cosmetics; Fragrances; Health and Beauty,Up to 5% Cashback,,,https://www.topcashback.com.au/cult-beauty/
Culture Kings,Accessories; Fashion,Up to 5% Cashback,,,https://www.topcashback.com.au/culture-kings/
CUPSHE,Accessories,Up to 6% Cashback,,,https://www.topcashback.com.au/cupshe/
Curtain Wonderland,Furniture; Interior Decor,10% Cashback,,,https://www.topcashback.com.au/curtain-wonderland/
CyberGhost VPN,Credit Rating,90% Cashback,,yes,https://www.topcashback.com.au/cyberghost-vpn/
Czarina,Fashion,15% Cashback,,,https://www.topcashback.com.au/czarina/
Dangerfield,Kidswear; Fashion,7% Cashback,,,https://www.topcashback.com.au/dangerfield/
Daniel Wellington,Jewellery; Fashion; Luxury,10% Cashback,,,https://www.topcashback.com.au/daniel-wellington/
David Jones,Accessories; Electricals; Furniture; Footwear; Home Appliances; Jewellery; Interior Decor; Laptops and Computers; Kidswear; Home and Garden; Lingerie; Fashion,2.7% Cashback,,,https://www.topcashback.com.au/david-jones/
David Lawrence,Fashion,4% Cashback,,,https://www.topcashback.com.au/david-lawrence/
DB Cosmetics,Cosmetics; Health and Beauty,Up to 9% Cashback,,,https://www.topcashback.com.au/db-cosmetics/
DC Shoes,Footwear; Fashion,Up to 8% Cashback,,,https://www.topcashback.com.au/dc-shoes/
De'Longhi,Electricals; Food; Food and Drinks; Home Appliances; Home and Garden,10% Cashback,,,https://www.topcashback.com.au/delonghi/
DECJUBA,Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/decjuba/
DecoRug,Furniture; Interior Decor; Home and Garden,8% Cashback,,,https://www.topcashback.com.au/decorug/
Dell,Electricals; Laptops and Computers; Home and Garden,Up to 6% Cashback,,yes,https://www.topcashback.com.au/dell/
Depop,Credit Rating; Marketplace,Up to 10% Cashback,,,https://www.topcashback.com.au/depop/
Dermeren,Body and Hair; Health and Beauty,20% Cashback,,,https://www.topcashback.com.au/dermeren/
Designer Makeup Tools,Cosmetics; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/designer-makeup-tools/
Designer Plants,Garden,10% Cashback,,,https://www.topcashback.com.au/designer-plants/
Designer Vertical Gardens,Garden,10% Cashback,,,https://www.topcashback.com.au/designer-vertical-gardens/
DG Designs,Gifts,10% Cashback,,,https://www.topcashback.com.au/dg-designs/
Diesel,Gifts; Kidswear,6% Cashback,,,https://www.topcashback.com.au/diesel/
digiDirect,Electricals; Laptops and Computers; Home and Garden,Up to 2% Cashback,,,https://www.topcashback.com.au/digidirect/
Dinnerly,Food; Food and Drinks,$15 Cashback,,,https://www.topcashback.com.au/dinnerly/
Direct Ferries,Experiences; Holidays,Up to 4% Cashback,,,https://www.topcashback.com.au/direct-ferries/
Discover Cars,Car Hire,4.5% Cashback,,,https://www.topcashback.com.au/discover-cars/
Disney Store,Accessories; Kidswear; Fashion,4% Cashback,,,https://www.topcashback.com.au/disney-store/
Disney+,Home and Garden,Up to $15 Cashback,,,https://www.topcashback.com.au/disney-plus/
Divano,Furniture,8% Cashback,,,https://www.topcashback.com.au/divano/
dk active,Activewear,Up to 15% Cashback,,,https://www.topcashback.com.au/dk-active/
DOKODEMO,Body and Hair; Cosmetics; Electricals; Food and Drinks; Kidswear; Fashion; Marketplace; Health and Beauty,3% Cashback,,,https://www.topcashback.com.au/dokodemo/
Dope Skin Co,Body and Hair; Health and Beauty,7% Cashback,,,https://www.topcashback.com.au/dope-skin-co/
Dose & Co.,Health and Beauty,Up to 15% Cashback,,,https://www.topcashback.com.au/dose-and-co/
Dozen Deals,Alcohol; Food and Drinks,8% Cashback,,,https://www.topcashback.com.au/dozen-deals/
Dr Martens,Footwear; Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/dr-martens/
Dr Martens (NZ),Footwear; Fashion,Up to 3% Cashback,,,https://www.topcashback.com.au/dr-martens-nz/
Dreame,Books Magazines,5% Cashback,,,https://www.topcashback.com.au/dreame/
DREAMO,Furniture,3% Cashback,,,https://www.topcashback.com.au/dreamo/
Dresden,Accessories; Eyecare; Fashion; Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/dresden/
Drink Hyro,Food and Drinks,15% Cashback,,,https://www.topcashback.com.au/drink-hyro/
Drinkmate,Food and Drinks,Up to 6% Cashback,,,https://www.topcashback.com.au/drinkmate/
Drop,Electricals,2% Cashback,,,https://www.topcashback.com.au/drop/
Dupes & Co,Fragrances; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/dupes-and-co/
Dusit Hotels & Resorts,Accommodation,5% Cashback,,,https://www.topcashback.com.au/dusit-hotels-and-resorts/
dusk,Fragrances; Gifts; Home and Garden; Health and Beauty,8% Cashback,,,https://www.topcashback.com.au/dusk/
Dymocks Books & Gifts,Books Magazines,Up to 3% Cashback,,,https://www.topcashback.com.au/dymocks/
Dyson,Body and Hair; Electricals; Home Appliances; Credit Rating; Home and Garden; Health and Beauty,3.5% Cashback,,,https://www.topcashback.com.au/dyson/
Eamti Jewellery,Jewellery; Fashion,15% Cashback,,,https://www.topcashback.com.au/eamti-jewellery/
Early Settler,Furniture; Interior Decor; Home and Garden,1% Cashback,,,https://www.topcashback.com.au/early-settler/
East Coast Car Rentals,Car Hire,8% Cashback,,,https://www.topcashback.com.au/east-coast-car-rentals/
EASYFLOWERS,Gifts,15% Cashback,,,https://www.topcashback.com.au/easyflowers/
eBay,Credit Rating; Marketplace,3% Cashback,,,https://www.topcashback.com.au/ebay/
ECCO Shoes,Activewear; Footwear; Kidswear; Fashion,5% Cashback,,,https://www.topcashback.com.au/ecco/
ECCO Shoes (NZ),Footwear; Fashion,5% Cashback,,,https://www.topcashback.com.au/ecco-nz/
Eco Kids,Furniture; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/eco-kids/
ECO Modern Essentials,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/eco-modern-essentials/
EcoFlow,Electricals,8% Cashback,,,https://www.topcashback.com.au/ecoflow/
Econnex,Energy,Up to $320 Cashback,Electricity + Gas + Broadband: $320; Electricity: $110; Gas: $120; Solar Installation: $200; Broadband: $90,yes,https://www.topcashback.com.au/econnex/
Ecoriginals Nappies,Kidswear; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/ecoriginals-nappies/
Ecosa,Furniture; Home and Garden,2% Cashback,,,https://www.topcashback.com.au/ecosa/
ECOVACS,Home Appliances; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/ecovacs/
Edible Beauty Australia,Health and Beauty,15% Cashback,,,https://www.topcashback.com.au/edible-beauty-australia/
Edible Blooms,Alcohol; Food; Food and Drinks,13% Cashback,,,https://www.topcashback.com.au/edible-blooms/
Edisons,Home and Garden,5% Cashback,,,https://www.topcashback.com.au/edisons/
eDreams,Car Hire; Accommodation; Flights; Holidays,3% Cashback,,,https://www.topcashback.com.au/edreams/
Eiderdown,Interior Decor,5% Cashback,,,https://www.topcashback.com.au/eiderdown/
Eimele,Health and Beauty,Up to 8% Cashback,New Customers: 8%; Existing customers: 6%,,https://www.topcashback.com.au/eimele/
Elegant Showers,Furniture,10% Cashback,,,https://www.topcashback.com.au/elegant-showers/
ELEGOO,Electricals; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/elegoo/
Element14,Electricals; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/element14/
Elinz,Electricals,5% Cashback,,,https://www.topcashback.com.au/elinz/
Elite Supps,Health and Beauty,Up to 12% Cashback,New Customers: 12%; Existing Customers: 5%,,https://www.topcashback.com.au/elite-supps/
Elka Collective,Fashion,4% Cashback,,,https://www.topcashback.com.au/elka-collective/
Ella Baché,Body and Hair; Health and Beauty,8% Cashback,,,https://www.topcashback.com.au/ella-bache/
Elm Lifestyle,Fashion,Up to 4% Cashback,Online Purchase (without use of a coupon code): 4%; Online Purchase (with use of a coupon code): 3.2%,,https://www.topcashback.com.au/elm-lifestyle/
Emamaco,Activewear,7% Cashback,,,https://www.topcashback.com.au/emamaco/
Emirates,Flights,1.25% Cashback,,,https://www.topcashback.com.au/emirates/
Emma Sleep,Furniture; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/emma-sleep/
Emrald Labs,Health and Beauty,Up to 8% Cashback,New Customers: 8%; Existing Customers: 5%,,https://www.topcashback.com.au/emrald-labs/
EMU Australia,Footwear; Fashion,Up to 10% Cashback,Full Price Items: 10%; Sale Items: 5%,,https://www.topcashback.com.au/emu-australia/
END Clothing,Accessories; Footwear; Fashion,Up to 10% Cashback,"Aesop, Samba, Malin & Goetz, Diptyque, Earl of East, Maison Margiela Replica, Comme Des, RetaW: 10%; Full Priced Items: 4%; Discounted Items: 3%; Promo Code Listed on TopCashback: 1%",,https://www.topcashback.com.au/end-clothing/
endota spa,Health and Beauty,Up to 7% Cashback,Online Purchase (excludes spa bookings & gift cards): 7%; Spa Bookings: 3%; Purchase of Gift Cards: 3%,,https://www.topcashback.com.au/endota-spa/
ENGLAON,Electricals; Home Appliances; Interior Decor; Laptops and Computers; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/englaon/
ENNI,Accessories,Up to 10% Cashback,Online Purchase - Full Price Items: 10%; Online Purchase - Sale Items: 3%,,https://www.topcashback.com.au/enni/
Ergoflex,Furniture,4% Cashback,,,https://www.topcashback.com.au/ergoflex/
ergoPouch,Kidswear; Fashion,7% Cashback,,,https://www.topcashback.com.au/ergopouch/
Esmio,Health and Beauty,Up to 8% Cashback,New Customers: 8%; Existing Customers: 4%,,https://www.topcashback.com.au/esmio/
ESR Tech,Contracts and PAYG; Accessories; Fashion,15% Cashback,,yes,https://www.topcashback.com.au/esr/
Estee Lauder,Cosmetics; Fragrances; Health and Beauty,Up to 6% Cashback,New Customers: 6%; Existing Customers: 4.5%,,https://www.topcashback.com.au/estee-lauder/
Ethiopian Airlines,Flights,1.3% Cashback,,,https://www.topcashback.com.au/ethiopian-airlines/
Etsy,Diy; Garden; Gifts; Furniture; Interior Decor; Credit Rating; Home and Garden,2% Cashback,,,https://www.topcashback.com.au/etsy/
ettitude,Interior Decor,4% Cashback,,,https://www.topcashback.com.au/ettitude/
eufyMake,Electricals,Up to 6% Cashback,CA Printer and Printer Attachment: 4%; CA Ink & Materials: 6%,,https://www.topcashback.com.au/eufymake/
Europcar,Car Hire; Cars and Bikes,Up to 7% Cashback,"Pickup Location: Rest of World: 4%; Pickup Location: Australia, Belgium, France, Germany, Great Britain, Ireland, Italy, New Zealand, Portugal, Spain, USA: 7%; myEuropcar Subscription: 2%",,https://www.topcashback.com.au/europcar/
Eva Home,Furniture; Home and Garden,3% Cashback,,,https://www.topcashback.com.au/eva-home/
EVATAC,Activewear,10% Cashback,,,https://www.topcashback.com.au/evatac/
Evercleaner,Diy,15% Cashback,,,https://www.topcashback.com.au/evercleaner/
Everform,Activewear; Fitness; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/everform/
Everlast,Activewear,4% Cashback,,,https://www.topcashback.com.au/everlast/
Everyday Market from Woolworths,Electricals; Garden; Home Appliances; Interior Decor; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/everyday-market-from-woolworths/
EveryPlate,Food; Food and Drinks,Up to 15% Cashback,New Customers: 15%; Past Customers: 5%,,https://www.topcashback.com.au/everyplate/
Everything New Zealand,Experiences; Holidays,4% Cashback,,,https://www.topcashback.com.au/everything-new-zealand/
Evrland,Fragrances; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/evrland/
EVT Stays,Accommodation,1.5% Cashback,,,https://www.topcashback.com.au/evt-stays/
Expedia,Car Hire; Accommodation; Holidays,Up to 8.5% Cashback,Hotels: 8.5%; Car Hire: 6%; Packages: 3%; Activities: 6%; Vacation Rentals: 2%,,https://www.topcashback.com.au/expedia/
Expedia (NZ),Car Hire; Accommodation; Holidays,Up to 5% Cashback,Hotels: 5%; Activities: 5%; Car Hire: 5%; Lodgings: 4%; Vacation Rentals: 2%; Packages: 1%; Flights: $2,,https://www.topcashback.com.au/expedia-nz/
Experience Oz,Experiences; Holidays,Up to 10% Cashback,Dreamworld Experiences: 10%; Vivid Sydney Experiences: 10%; All Other Experiences: 5%,,https://www.topcashback.com.au/experience-oz/
ExpressVPN,Credit Rating,100% Cashback,,,https://www.topcashback.com.au/expressvpn/
Eyewear Index,Accessories; Eyecare; Health and Beauty,2% Cashback,,,https://www.topcashback.com.au/eyewear-index/
EziBuy,Fashion,3% Cashback,,,https://www.topcashback.com.au/ezibuy/
Facial Co,Body and Hair; Cosmetics; Electricals; Home and Garden; Health and Beauty,8% Cashback,,,https://www.topcashback.com.au/facial-co/
Factorie,Activewear; Fashion,5% Cashback,,,https://www.topcashback.com.au/factorie/
Faithfull The Brand,Accessories,3% Cashback,,,https://www.topcashback.com.au/faithfull-the-brand/
Famous Nutrition,Health and Beauty,Up to 15% Cashback,New Customers: 15%; Existing Customers: 5%,,https://www.topcashback.com.au/famous-nutrition/
Fanatics,Activewear,6% Cashback,,,https://www.topcashback.com.au/fanatics/
Fantastic Furniture,Furniture; Home and Garden,7% Cashback,,yes,https://www.topcashback.com.au/fantastic-furniture/
FARFETCH,Kidswear; Fashion; Luxury,Up to 2.5% Cashback,New Customers: 2.5%; Existing Customers: 1%,,https://www.topcashback.com.au/farfetch/
Fast Cover Travel Insurance,Insurance; Landlord Insurance,17% Cashback,,,https://www.topcashback.com.au/fast-cover-travel-insurance/
FE Custom,Activewear,5% Cashback,,,https://www.topcashback.com.au/fe-custom/
Felix Mobile,Contracts and PAYG,Up to $5 Cashback,"Mobile Plans (25GB, 50GB, Unlimited): $5; Add Ons: $1",,https://www.topcashback.com.au/felix-mobile/
Femplay,Lingerie; Fashion,12% Cashback,,,https://www.topcashback.com.au/femplay/
Fever,Experiences,5% Cashback,,,https://www.topcashback.com.au/fever/
Fig & Bloom,Gifts,Up to 15% Cashback,New Customers: 15%; Existing Customers: 10%,,https://www.topcashback.com.au/fig-and-bloom/
Fila,Activewear; Accessories; Footwear; Kidswear; Fashion,8% Cashback,,,https://www.topcashback.com.au/fila/
Fit Nutrition,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/fit-nutrition/
Flashforge,Delivery Services,5% Cashback,,,https://www.topcashback.com.au/flashforge/
Fleur Collective,Fashion,10% Cashback,,,https://www.topcashback.com.au/fleur-collective/
Flight Centre,Accommodation; Experiences; Flights; Holidays,Up to 5% Cashback,Tours: 3.5%; Cruises: 4%; Car Hire: 5%; Accommodation: 3%; Holiday Packages: 3%; Gift Cards: 2%; Flights: 1%,,https://www.topcashback.com.au/flight-centre/
Flight Centre (NZ),Car Hire; Experiences; Flights; Holidays,Up to 5% Cashback,Holiday Packages: 3%; Flights: 1%; Car Hire: 5%,,https://www.topcashback.com.au/flight-centre-nz/
Flo & Frankie,Fashion,8% Cashback,,,https://www.topcashback.com.au/flo-and-frankie/
Floraly,Gifts,5% Cashback,,,https://www.topcashback.com.au/floraly/
Florsheim,Accessories; Footwear; Fashion,7% Cashback,,,https://www.topcashback.com.au/florsheim/
Flowers for Everyone,Garden; Home and Garden,8% Cashback,,,https://www.topcashback.com.au/flowers-for-everyone/
Foot Locker,Accessories; Cyclingtest; Fashion,6% Cashback,,,https://www.topcashback.com.au/foot-locker/
Footasylum,Activewear; Accessories; Footwear; Kidswear,Up to 4% Cashback,Online Purchase - Full Price Items: 4%; Online Purchase - Sale Items: 2%; Online Purchase with a voucher code: 2%,,https://www.topcashback.com.au/footasylum/
FORCAST,Footwear; Jewellery; Fashion,6% Cashback,,,https://www.topcashback.com.au/forcast/
Foreo,Body and Hair; Cosmetics; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/foreo/
Forest Super Foods,Food; Food and Drinks,Up to 6% Cashback,New Customers: 6%; Existing Customers: 3%,,https://www.topcashback.com.au/forest-super-foods/
Forever New,Accessories; Cyclingtest; Footwear; Fashion,Up to 6% Cashback,New Customers: 6%; Existing Customers: 3%,,https://www.topcashback.com.au/forever-new/
Fortunate One,Fashion,10% Cashback,,yes,https://www.topcashback.com.au/fortunate-one/
Foxwood Clothing,Fashion,Up to 4% Cashback,Online Purchase: 4%; Listed Coupon Use: 3.2%,,https://www.topcashback.com.au/foxwood-clothing/
frank body,Body and Hair; Health and Beauty,Up to 10% Cashback,New Customers: 10%; Existing Customers: 2%,,https://www.topcashback.com.au/frank-body/
frank green,Home and Garden,5% Cashback,,,https://www.topcashback.com.au/frank-green/
frank green (NZ),Accessories,5% Cashback,,,https://www.topcashback.com.au/frank-green-nz/
Frankbros,Home Appliances; Interior Decor; Home and Garden,7% Cashback,,,https://www.topcashback.com.au/frankbros/
Frankie and Co,Fashion,7% Cashback,,,https://www.topcashback.com.au/frankie-and-co/
Frankly My Dear,Jewellery; Fashion,10% Cashback,,,https://www.topcashback.com.au/frankly-my-dear/
Freddy Store,Fashion,5% Cashback,,,https://www.topcashback.com.au/freddy-store/
Freedom Furniture,Furniture; Home and Garden,Up to 5% Cashback,New Customers: 5%; Existing Customers: 3.5%; Sale & Discounted Items: 3%; Dropship Items: 2.5%; Online Exclusive Items: 2.5%,,https://www.topcashback.com.au/freedom-furniture/
Freelance Shoes,Footwear; Fashion,8% Cashback,,,https://www.topcashback.com.au/freelance-shoes/
Freely Travel Insurance,Insurance; Landlord Insurance,8% Cashback,,,https://www.topcashback.com.au/freely-travel-insurance/
freezeframe,Body and Hair; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/freezeframe/
Fresh Beauty Co.,Body and Hair; Cosmetics; Health and Beauty,Up to 7.5% Cashback,New Customers: 7.5%; Existing Customers: 5%,,https://www.topcashback.com.au/fresh-beauty-co/
Fruugo,Diy; Accessories; Electricals; Garden; Furniture; Footwear; Home Appliances; Jewellery; Interior Decor; Kidswear; Home and Garden; Fashion,12% Cashback,,,https://www.topcashback.com.au/fruugo/
G-Star RAW,Accessories; Footwear; Fashion,Up to 12% Cashback,New Customers (full price items): 12%; New Customers (sale items): 6%; Existing Customers (full price items): 8%; Existing Customers (sale items): 1.5%,,https://www.topcashback.com.au/g-star-raw/
Gandys,Activewear; Accessories; Fashion,5% Cashback,,,https://www.topcashback.com.au/gandys/
GAP,Kidswear; Fashion,4% Cashback,,,https://www.topcashback.com.au/gap/
Garden of Vegan,Food; Food and Drinks,Up to 6% Cashback,Online Purchase: 6%; Listed Coupon Used: 3%,,https://www.topcashback.com.au/garden-of-vegan/
Garden of Wellness,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/garden-of-wellness/
GAZMAN,Footwear; Fashion,Up to 7% Cashback,New Customers: 7%; Existing Customers: 3%,,https://www.topcashback.com.au/gazman/
Gear Force,Cars and Bikes; Electricals; Home and Garden,10% Cashback,,,https://www.topcashback.com.au/gear-force/
Geekbuying,Electricals,2% Cashback,,,https://www.topcashback.com.au/geekbuying/
Geeks Outfit,Fashion,Up to 16% Cashback,Online Purchase (new customers only): 12%; Listed Coupon Use (new customers only): 16%,,https://www.topcashback.com.au/geeks-outfit/
Geeta Hair,Body and Hair; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/geeta-hair/
Get Wines Direct,Alcohol; Food and Drinks,Up to 12% Cashback,New Customers: 12%; Existing Customers: 8%,,https://www.topcashback.com.au/get-wines-direct/
GetYourGuide,Experiences,7% Cashback,,,https://www.topcashback.com.au/getyourguide/
ghd,Body and Hair; Electricals; Home and Garden; Health and Beauty,4% Cashback,,,https://www.topcashback.com.au/ghd/
Gift Card Store,Gifts,0.5% Cashback,,,https://www.topcashback.com.au/gift-card-store/
GiftBox,Accessories; Electricals; Gifts; Furniture; Home and Garden; Fashion,10% Cashback,,,https://www.topcashback.com.au/giftbox/
Giftz,Gifts; Credit Rating,Up to 5% Cashback,Activ Visa; Category Choice: 1.5%; Amazon; Uber; Uber Eats; The Good Guys; Ultimate Range; Harris Farm; JB Hi-Fi; 7-Eleven; Shell: 3%; Other Gift Cards (see terms below for exclusions): 5%,,https://www.topcashback.com.au/giftz/
Ginger&Me,Body and Hair; Cosmetics; Eyecare; Fragrances; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/ginger-and-me/
Giorgio Armani Beauty,Fragrances; Health and Beauty,18% Cashback,,yes,https://www.topcashback.com.au/giorgio-armani-beauty/
Giuseppe Zanotti,Accessories; Footwear; Fashion; Luxury,6% Cashback,,,https://www.topcashback.com.au/giuseppe-zanotti/
GlamCorner,Luxury,5% Cashback,,,https://www.topcashback.com.au/glamcorner/
Glasshouse Fragrances,Fragrances; Interior Decor; Home and Garden; Health and Beauty,8% Cashback,,,https://www.topcashback.com.au/glasshouse-fragrances/
Glasshouse Fragrances (NZ),Interior Decor,8% Cashback,,,https://www.topcashback.com.au/glasshouse-fragrances-nz/
Glassons,Fashion,Up to 4% Cashback,New Customer: 4%; Existing Customer: 2.5%,,https://www.topcashback.com.au/glassons/
Global Shop Direct,Electricals; Kidswear; Home and Garden; Fashion; Marketplace; Health and Beauty,7% Cashback,,,https://www.topcashback.com.au/global-shop-direct/
Glow Collection,Gifts,8% Cashback,,,https://www.topcashback.com.au/glow-collection/
GOELIA,Fashion,8% Cashback,,,https://www.topcashback.com.au/goelia/
Good Buyz,Home Appliances; Home and Garden,10% Cashback,,,https://www.topcashback.com.au/good-buyz/
gorman,Kidswear; Home and Garden; Fashion,7% Cashback,,,https://www.topcashback.com.au/gorman/
Gourmet Basket,Gifts,Up to 8% Cashback,New Gourmet Basket Customer: 8%; Existing Gourmet Basket Customer: 5%,,https://www.topcashback.com.au/gourmet-basket/
Graham & Brown,Interior Decor,Up to 6% Cashback,Online Purchase: 6%; Online Purchase with a voucher code: 3%,,https://www.topcashback.com.au/graham-and-brown/
Gravastar,Electricals,5% Cashback,,,https://www.topcashback.com.au/gravastar/
Green Gadgets,Contracts and PAYG,Up to 5% Cashback,New Customers: 5%; Existing Customers: 3%,,https://www.topcashback.com.au/green-gadgets/
Groupon,Credit Rating; Marketplace,Up to 10% Cashback,Goods (new customers): 3%; Goods (existing customers): 1%; Local & Travel (new customers): 10%; Local & Travel (existing customers): 2%,yes,https://www.topcashback.com.au/groupon/
Grown Alchemist,Body and Hair; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/grown-alchemist/
GUESS,Fashion,Up to 8% Cashback,Online Purchase (spend $250.01 or more): 8%; Online Purchase (spend $150.01 to $250): 7%; Online Purchase (spend $150 or less): 6%,,https://www.topcashback.com.au/guess/
Gymshark,Activewear; Fashion,Up to 8% Cashback,New Customers: 8%; Existing Customers: 5%; Listed Code Use: 2%,,https://www.topcashback.com.au/gymshark/
H&M,Fashion,Up to 6% Cashback,New Customers: 6%; Existing Customers: 3%,,https://www.topcashback.com.au/h-and-m/
Hairhouse,Body and Hair; Health and Beauty,Up to 5% Cashback,New Customers: 5%; Existing Customers: 3%,,https://www.topcashback.com.au/hairhouse/
Hairydog,Alcohol; Food and Drinks,6% Cashback,,,https://www.topcashback.com.au/hairydog/
Halara,Activewear; Cyclingtest; Fashion,5% Cashback,,,https://www.topcashback.com.au/halara/
Hallenstein Brothers,Accessories; Fashion,6% Cashback,,,https://www.topcashback.com.au/hallenstein-brothers/
Hamilton Island Holiday Homes,Holidays,3% Cashback,,,https://www.topcashback.com.au/hamilton-island-holiday-homes/
Hamilton Watches,Accessories; Fashion,Up to 5% Cashback,New Customers: 5%; Existing Customers: 3%,,https://www.topcashback.com.au/hamilton-watches/
Hammock Bliss,Diy; Furniture; Interior Decor,12% Cashback,,,https://www.topcashback.com.au/hammock-bliss/
Happy Healthy You,Body and Hair; Health and Beauty,Up to 10% Cashback,New Customers: 10%; Existing Customers: 3%,,https://www.topcashback.com.au/happy-healthy-you/
Happy Mammoth,Health and Beauty,1% Cashback,,,https://www.topcashback.com.au/happy-mammoth/
Happyology,Kidswear; Fashion,1% Cashback,,,https://www.topcashback.com.au/happyology/
Hard Yakka,Fashion,9% Cashback,,,https://www.topcashback.com.au/hard-yakka/
Harfington,Accessories,7% Cashback,,,https://www.topcashback.com.au/harfington/
Harris Scarfe,Home and Garden; Fashion,5% Cashback,,yes,https://www.topcashback.com.au/harris-scarfe/
Harrods,Food and Drinks; Fashion,Up to 5% Cashback,"Beauty: 3%; Home: 3%; Jewellery & Watches: 1%; All Other Purchases (exclusions apply, see terms): 5%",,https://www.topcashback.com.au/harrods/
Harvey Nichols (NZ),Accessories; Fashion,Up to 6% Cashback,Fashion & Accessories: 6%; Food & Wine: 6%; Beauty: 4%; Marketplace Brands: 2%; Sale Items: 2%; Purchases using an approved voucher code: 2%,,https://www.topcashback.com.au/harvey-nichols/
Havaianas,Footwear; Fashion,8% Cashback,,,https://www.topcashback.com.au/havaianas/
Hawes & Curtis,Gifts; Fashion,Up to 6% Cashback,New Customers: 6%; Existing Customers: 5%; Listed Code Use: 2%,,https://www.topcashback.com.au/hawes-and-curtis/
Health Supplements,Health and Beauty,6% Cashback,,yes,https://www.topcashback.com.au/health-supplements/
HealthPost,Food and Drinks; Gifts; Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/healthpost/
Healthylife,Health and Beauty,Up to 12% Cashback,New Customers: 12%; Existing Customers: 5%,yes,https://www.topcashback.com.au/healthylife/
Hello Molly,Footwear; Jewellery; Fashion,7% Cashback,,,https://www.topcashback.com.au/hello-molly/
HelloDrinks,Alcohol; Food and Drinks,Up to 7% Cashback,New Customer - Beer: 2%; New Customer - Champagne or Spirits: 5%; New Custotmer - Wine: 7%; Exisiting Customer - Beer: 1%; Existing Customer - Champagne: 2%; Existing Customer - Spirits: 3%; Existing Customer - Wine: 5%,,https://www.topcashback.com.au/hellodrinks/
HelloFresh,Food; Food and Drinks,Up to 30% Cashback,New Customers: 30%; Existing or Past Customers: 15%,,https://www.topcashback.com.au/hellofresh/
HelloFresh (NZ),Food; Food and Drinks,Up to $19 Cashback,New Customers: $19; Existing Customers: $9.50,,https://www.topcashback.com.au/hellofresh-nz/
Helloskin,Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/helloskin/
Helly Hansen,Fashion,10% Cashback,,,https://www.topcashback.com.au/helly-hansen/
Hema Maps,Books Magazines; Electricals,10% Cashback,,,https://www.topcashback.com.au/hema-maps/
Herbal Ignite,Health and Beauty,7% Cashback,,,https://www.topcashback.com.au/herbal-ignite/
Herring Shoes,Footwear,Up to 6% Cashback,Online Purchase - New Customer: 6%; Online Purchase - Existing Customer: 4%,,https://www.topcashback.com.au/herring-shoes/
Herschel,Accessories; Kidswear,Up to 8% Cashback,Sale Items up to 70% off (higher discounts ineligible): 4%; Full Price Items: 8%,,https://www.topcashback.com.au/herschel/
Hertz,Car Hire,5% Cashback,,,https://www.topcashback.com.au/hertz/
Hexclad,Food; Food and Drinks; Home and Garden,4% Cashback,,,https://www.topcashback.com.au/hexclad/
High Sierra,Activewear,5% Cashback,,,https://www.topcashback.com.au/high-sierra/
Hilo,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/hilo/
HiSmile,Cosmetics; Health and Beauty,Up to 18% Cashback,Online Purchase: 15%; HiSmile Toothpaste: 17%; HiSmile Electric Toothbrush: 18%,,https://www.topcashback.com.au/hismile/
HMH Hospitality,Accommodation,5% Cashback,,,https://www.topcashback.com.au/hmh-hospitality/
HOKA,Activewear; Footwear; Fashion,Up to 3% Cashback,Full Price items: 3%; Sale Items up to 70% off (higher discounts ineligible): 1%,,https://www.topcashback.com.au/hoka/
Homestyler,Diy; Garden; Furniture; Interior Decor,Up to 30% Cashback,"Purchase with Yearly Membership (Pro, Master, Styler): 30%; All Other Online Purchases: 20%",,https://www.topcashback.com.au/homestyler/
HopeGOO,Accommodation; Flights,Up to 5% Cashback,Hotels: 5%; Flights: 1%; Other Purchases: 1%,,https://www.topcashback.com.au/hopegoo/
